Student,LPIPS,SSIM
113590004.png,0.0,1.0
113590043.png,0.11977208405733109,0.8974352326432992
113590025.png,0.13137286901474,0.8828254981691945
113590047.png,0.13877668976783752,0.8424393843152889
113590005.png,0.17189447581768036,0.8521862096565578
111590042.png,0.20433029532432556,0.8902442919649254
113590032.png,0.24649928510189056,0.7785101972033927
111590047.png,0.2942892909049988,0.7565194818204534
113590060.png,0.2985650300979614,0.7680276686058811
111590062.png,0.3024974763393402,0.723642500562063
113590039.png,0.31169506907463074,0.7385705094758277
113590026.png,0.31280583143234253,0.7452102959105359
113370239.png,0.3220422863960266,0.7392546369239579
113590031.png,0.3290952742099762,0.7028566753930466
113590450.png,0.3382164239883423,0.7597470538313464
112590455.png,0.3426820635795593,0.7158990666296636
113590033.png,0.343437135219574,0.7472034533348187
113590051.png,0.3461036682128906,0.7396062240053031
113590001.png,0.3503611087799072,0.7035834408796289
113590003.png,0.36260169744491577,0.711444209782539
113590010.png,0.36342039704322815,0.664136209781297
113590040.png,0.36494725942611694,0.72874893887301
113590061.png,0.38004523515701294,0.7237449910644851
111590028.png,0.38167083263397217,0.7449919617987814
113590015.png,0.38387244939804077,0.7032092848681435
112590454.png,0.388235867023468,0.6976932712617657
113590044.png,0.3882710933685303,0.6884912218857859
113590056.png,0.40145888924598694,0.7204238877111206
113590021.png,0.4056982100009918,0.6665703188450508
110590455.png,0.40726736187934875,0.7306118910198219
113590052.png,0.4120963215827942,0.6783391921044464
114054809.png,0.4242705702781677,0.7223694589014078
113590045.png,0.4314088225364685,0.6484701672653952
113590022.png,0.43259352445602417,0.6834334148178857
112590452.png,0.434757798910141,0.6874509684921457
112590040.png,0.4360398054122925,0.6602821175621324
113590036.png,0.4375326633453369,0.6414322096027297
113AB0018.png,0.44285860657691956,0.6528076047223695
113590062.png,0.4465050995349884,0.6396201872248004
113AC1012.png,0.44956207275390625,0.6923905538283364
113590057.png,0.45051273703575134,0.6791274470195335
113590028.png,0.45259302854537964,0.6399842353699803
113590042.png,0.45556411147117615,0.6363621594659903
113590006.png,0.47303009033203125,0.5960310593564956
113590050.png,0.4821808338165283,0.6061496309534956
113590002.png,0.48370110988616943,0.6377115896818186
113590059.png,0.4858674108982086,0.5999234803358898
113590018.png,0.4868115782737732,0.6571391946138962
113590011.png,0.4912351965904236,0.6332751306156883
113590023.png,0.5015395879745483,0.5671521925972419
111590455.png,0.5346289277076721,0.5884588704930126
113590049.png,0.5467615127563477,0.5173157550183104
113590008.png,0.5958154201507568,0.491611378072459
112590058.jpg,0.6008018255233765,0.45706283048891605
113590013.png,0.6018328070640564,0.4138236352424999
